word,machine,human,label,emotion_intensity_score
institute,ulo akwukwo,ụlọakwụwọ,trust,0.539
stealthy,izu ohi,izu ohi,surprise,0.43
recipient,onye nnata,onye nnata,anticipation,0.477
afflict,taa ahụhụ,taa ahụhụ,sadness,0.789
pain,mgbu,mgbu,fear,0.594
riddle,ilu,ilu,surprise,0.422
euphoria,aupụrị,obi ụtọ,joy,0.922
diaper,akwa nhicha,akwa nhicha,disgust,0.617
disagreeing,na -ekwekọrịtaghị,na -ekwekọrịtaghị,sadness,0.333
rip,dọwara,dọwara,sadness,0.422
praised,toro,toro,trust,0.594
matron,matron,onye nchekwa ụlọ,trust,0.57
captive,n'agha,n'agha,sadness,0.576
discoloration,agbacha agbacha,agbacha agbacha,disgust,0.336
dissolution,mgbasa,mgbasa,anger,0.391
majestic,dị ebube,dị ebube,joy,0.682
mangle,mangle,igbu,disgust,0.578
dragon,dragọn,dragọn,fear,0.594
restlessness,erughị ala,erughị ala,anticipation,0.57
accidental,mberede,mberede,surprise,0.672
volunteer,onye oru afọ ofufo,onye oru afọ ofufo,anticipation,0.445
utopian,onye utopian,onye utopian,trust,0.43
chilly,juru oyi,juru oyi,sadness,0.203
eulogistic,nkwalite,nkwalite,trust,0.391
shooting,agbapụ,agbapụ,anger,0.667
coercion,mmanye,mmanye,disgust,0.547
cussed,kwụrụ ọtọ,enweghị njegharị,anger,0.619
gore,egwu,egwu,fear,0.734
deal,ndibiat,kwe ọnụ ahịa,joy,0.312
splendor,ịma mma,ịma mma,joy,0.788
memorials,ihe ncheta,ihe ncheta,sadness,0.453
pretty,mara mma,mara mma,trust,0.367
unhealthy,adighi mma,adighi mma,fear,0.469
dysentery,ọnyụnyụ ọbara,ọnyụnyụ ọbara,disgust,0.727
scoundrel,onye njo,onye njọ,fear,0.641
chuckle,ọchị,ọchị,anticipation,0.391
aghast,tụrụ m n'anya,tụrụ m n'anya,fear,0.641
assassin,ogbu mmadu,ogbu mmadu,sadness,0.734
blaze,ire ọkụ,ire ọkụ,anger,0.578
sceptical,obi abụọ,obi abụọ,trust,0.227
warden,onye nlekọta,onye nlekọta,anger,0.219
affliction,nsogbu,nsogbu,fear,0.557
vampire,vampire,ọnwụ ọbara,fear,0.625
injection,ntụtụ,ntụtụ,fear,0.609
serenity,iru ala,iru ala,trust,0.602
formative,nhazi,nhazi,trust,0.516
illegality,mmebi iwu,mmebi iwu,fear,0.469
traumatic,traumatic,imepụ ọnya,fear,0.844
vegetative,ahịhịa,ahịhịa,disgust,0.414
receiving,na -anata,na -anata,surprise,0.258
father,nna,nna,trust,0.586
inseparable,nkewa,nkewa,trust,0.531
crumbling,na -akụda,na -akụda,sadness,0.594
measure,tụọ,tụọ,trust,0.516
sheriff,onye sheriff,onye sheriff,trust,0.492
withdraw,wepu,wepu,sadness,0.375
deplorable,ihe ojoo,ihe ọjọọ,disgust,0.516
ferocious,dị egwu,dị egwu,disgust,0.422
untuk,tọpụ,untuk,trust,0.203
vitality,ike,ike,joy,0.531
libel,ikwuto,ikwutọ,fear,0.348
disallowed,ekweghi,ekweghi,sadness,0.328
resign,gbara arụkwaghịm,gbara arụkwaghịm,fear,0.453
rant,mkpu,mkpu,anger,0.758
suffocating,na -eku ume,na -eku ume,sadness,0.703
indict,bo ebubo,ima ikpe,anger,0.625
case,ikpe,ikpe,sadness,0.228
colonel,colonel,onye isi,trust,0.484
angina,angina,engina,fear,0.578
meritorious,meritorious,kwesiri,joy,0.5
snowy,snow,sinoo,joy,0.234
enigmatic,enigmatic,nsogbu,fear,0.329
exasperation,iwe iwe,iwe iwe,disgust,0.328
detest,ihe arụ,ịkpọ asi,anger,0.838
gage,ogugu,ogugu,trust,0.383
erotic,erotic,ihe ọjọọ,surprise,0.5
curiosity,ọchịchọ ịmata ihe,ọchịchọ ịmata ihe,anticipation,0.555
crabby,nshịkọ,nshịkọ,anger,0.455
show,gosi,gosi,trust,0.352
unequivocal,enweghị mgbagha,enweghị mgbagha,trust,0.57
nepotism,onye iro,onye iro,sadness,0.328
superman,onye ukwu,onye ukwu,trust,0.5
corroborate,kwuputa,kwuputa,trust,0.617
child,nwa,nwa,joy,0.466
unhealthy,adighi mma,adighi mma,sadness,0.474
experiment,nnwale,nnwale,anticipation,0.58
buried,lie,lie,fear,0.531
brotherly,nwanne nwoke,nwanne nwoke,anticipation,0.336
raid,mwakpo,mwakpo,anger,0.625
heft,heft,arọ,fear,0.219
privileged,ihe ùgwù,ihe ùgwù,trust,0.359
prognosis,amụma,amụma,anticipation,0.641
evanescence,evanescence,ifu,sadness,0.312
acquiring,inweta,inweta,anticipation,0.594
varicella,varicella,chikinpọksi,disgust,0.555
ribbon,rịbọn,rịbọn,anger,0.047
kitten,nwa pusi,nwa pusi,joy,0.364
ashamed,ihere,ihere,disgust,0.438
witness,onye akaebe,onye akaebe,trust,0.602
comforting,na -akasi obi,na -akasi obi,joy,0.636
chastity,ịdị ọcha,ịdị ọcha,trust,0.539
holla,hụ,hụ,trust,0.312
humiliation,mmechuihu,mmechuihu,sadness,0.578
pollution,mmetọ,mmetọ,disgust,0.68
religion,okpukperechi,okpukperechi,trust,0.469
broil,broil,ime ihe,anger,0.516
ambulance,ụgbọ ihe mberede,ụgbọ ihe mberede,fear,0.484
devil,ekwensu,ekwensu,sadness,0.576
invade,wakporo,wakporo,sadness,0.453
glitter,ewute,ewute,disgust,0.094
weariness,ike ọgwụgwụ,ike ọgwụgwụ,sadness,0.484
shriek,iti mkpu,iti mkpu,anger,0.316
captivate,dọta,dọta,joy,0.656
unemployed,enweghị ọrụ,enweghị ọrụ,fear,0.391
armed,jikere,jikere,fear,0.703
hero,dike,dike,trust,0.773
eager,chọsiri ike,chọsiri ike,joy,0.438
apathetic,enweghị mmasị,enweghị mmasị,sadness,0.438
gonorrhea,gonorrhea,ọrịa,disgust,0.906
unbroken,adịghị agbaji,adịghị agbaji,trust,0.523
conquer,merie,merie,fear,0.391
foreveralone,nọrọ naanị ebighebi,nọrọ naanị ebighebi,sadness,0.688
hilarity,ọchị,ọchị,joy,0.606
wound,ọnya,ọnya,fear,0.571
homework,ọrụ ụlọ,ọrụ ụlọ,fear,0.109
playful,igwuri egwu,igwuri egwu,anger,0.061
landmark,akara ala,akara ala,trust,0.477
liquor,mmanya,mmanya,sadness,0.0
bomb,bombu,bombu,surprise,0.789
sinful,mmehie,mmehie,fear,0.5
extol,bulie,bulie,trust,0.406
blame,taa ụta,taa ụta,disgust,0.375
tempest,oké ifufe,oké ifufe,surprise,0.625
default,ndabara,ndabara,fear,0.226
delight,obi uto,obi ụtọ,anticipation,0.633
leisure,oge ntụrụndụ,oge ntụrụndụ,trust,0.406
dumps,ntụpọ,ikpofu,anger,0.312
conflagration,ọkụ,ọkụ,anger,0.561
demolish,kwatuo,kwatuo,anger,0.824
tension,obi erughị ala,obi erughị ala,anger,0.603
shatter,gbajie,gbajie,surprise,0.609
turmoil,ọgba aghara,ọgba aghara,fear,0.733
tribunal,ụlọikpe,ụlọikpe,trust,0.516
penetration,ntinye,ntinye,anger,0.422
clap,ịkụ aka,ịkụ aka,joy,0.25
admiration,mmasi,mara mma,joy,0.734
hotyoga,hotyoga,yoga dị ọkụ,joy,0.347
affection,ihunanya,ihunanya,joy,0.647
sweating,ọsụsọ,ọsụsọ,fear,0.298
dike,dike,daịk,fear,0.328
untoward,na -adịghị,na -adịghị,disgust,0.352
cringe,egwu egwu,egwu egwu,sadness,0.5
precedence,ụzọ,ụzọ,trust,0.555
protecting,ichebe,ichebe,trust,0.734
xmas,mmasi,ekisimasi,joy,0.719
sickening,na -arịa ọrịa,na -arịa ọrịa,anger,0.606
plummet,gbadaa,gbadaa,fear,0.613
lava,lava,okute,fear,0.588
psalm,abụ ọma,abụ ọma,joy,0.328
highest,nke kachasi elu,nke kachasi elu,surprise,0.344
woohoo,woohoo,anwurị,joy,0.864
jab,jab,ima,anger,0.574
sprain,mgbatị,mgbatị,sadness,0.203
unequal,ahaghị nhata,ahaghị nhata,anger,0.167
relationship,mmekọrịta,mmekọrịta,trust,0.656
venerable,nsọpụrụ,nsọpụrụ,joy,0.279
crippled,nkwarụ,ngwụrọ,sadness,0.836
yousuck,ị nweghị isi,ị nweghị isi,anger,0.578
beating,na -eti,na -eti,fear,0.609
retard,laa azụ,laa azụ,sadness,0.516
closure,mmechi,mmechi,sadness,0.195
aromatherapy,aromatherapy,aromaterapi,joy,0.409
conservation,nchekwa,nchekwa,anticipation,0.438
tragedies,ọdachi,ọdachi,fear,0.75
wealth,akụnụba,akụnụba,trust,0.43
free,n'efu,n'efu,joy,0.544
vulgarity,omume rụrụ arụ,omume rụrụ arụ,anger,0.75
bearish,bearish,agba,anger,0.562
recombination,recombination,ijikọta,anticipation,0.438
swerve,zere,zere,surprise,0.508
therapeutic,ọgwụgwọ,ọgwụgwọ,joy,0.515
favoriteholiday,ezumike kacha amasị,ezumike kacha amasị,joy,0.844
remove,wepu,wepu,sadness,0.281
adverts,mgbasa ozi,mgbasa ozi,anger,0.197
serial,Oghere Usoro,Oghere Usoro,anticipation,0.438
unforgiving,na -adịghị agbaghara,na -adịghị agbaghara,anger,0.515
coldness,oyi,oyi,anger,0.477
resigned,gbara arụkwaghịm,gbara arụkwaghịm,sadness,0.344
immerse,mikpuo,mikpuo,anticipation,0.586
excellent,magburu onwe ya,magburu onwe ya,trust,0.656
marvel,itunanya,itunanya,surprise,0.539
deliverance,nnapụta,nnapụta,joy,0.348
soldier,onye agha,onye agha,anger,0.258
dolphin,dolphin,azụ,joy,0.348
correspondence,ozi,ozi,anticipation,0.484
detonate,igbasa,igbasa,fear,0.766
ruined,mebiri emebi,mebiri emebi,sadness,0.697
holiday,ezumike,ezumike,anticipation,0.672
friendships,ọbụbụenyi,ọbụbụenyi,trust,0.75
adder,adder,agwọ,anger,0.212
bounty,mmasi,mmasi,trust,0.383
hymn,ukwe,ukwe,trust,0.422
exclaim,tie mkpu,tie mkpu,surprise,0.789
prospective,na -atụ anya,na -atụ anya,anticipation,0.703
heated,kpụ ọkụ n'ọnụ,kpụ ọkụ n'ọnụ,anger,0.545
deadly,na -egbu egbu,na -egbu egbu,anger,0.758
contemptuous,nlelị,nlelị,anger,0.69
unaccountable,enweghị akaụntụ,enweghị akaụntụ,anticipation,0.336
kindred,nwanne,nwanne,trust,0.719
exhausted,ike gwụchara,ike gwụchara,sadness,0.391
woe,ahụhụ,ahụhụ,fear,0.491
navigator,onye na -akwọ ụgbọ mmiri,onye na -akwọ ụgbọ mmiri,anticipation,0.375
senile,senile,nnka,fear,0.547
marvellous,magburu onwe ya,magburu onwe ya,joy,0.833
modest,obi umeala,obi umeala,trust,0.57
shell,shei,shei,surprise,0.211
violent,na -eme ihe ike,na -eme ihe ike,fear,0.812
counsellor,onye ndụmọdụ,onye ndụmọdụ,trust,0.57
hardened,obi tara mmiri,obi tara mmiri,disgust,0.391
improve,melite,melite,anticipation,0.453
paths,ụzọ,ụzọ,trust,0.398
disgrace,mmechuihu,mmechuihu,sadness,0.812
insane,ara,ara,fear,0.656
controversial,arụmụka,arụmụka,anger,0.359
doldrums,egwu egwu,egwu egwu,sadness,0.453
professor,prọfesọ,prọfesọ,trust,0.578
camouflaged,ozuzo,ozuzo,surprise,0.375
listenting,na -ege ntị,na -ege ntị,joy,0.359
receiving,na -anata,na -anata,anticipation,0.641
nocomplaints,enweghị mkpesa,enweghị mkpesa,joy,0.485
funday,funday,ụbọchi anụrị,joy,0.772
impending,na -abịanụ,na -abịanụ,anticipation,0.664
impartial,eleghi mmadu anya n'ihu,eleghi mmadu anya n'ihu,trust,0.555
expectancy,atụmanya,atụmanya,anticipation,0.727
turbulence,ogba aghara,ọgba aghara,fear,0.562
syncope,mmekọrịta,mmekọrịta,surprise,0.414
committal,nkwa,nkwa,sadness,0.312
barbaric,arụrụala,arụrụala,anger,0.812
dying,na -anwụ anwụ,na -anwụ anwụ,fear,0.948
thundering,égbè eluigwe,égbè eluigwe,fear,0.625
litigate,ịgba akwụkwọ,ịgba akwụkwọ,anger,0.359
sinking,na -emikpu,na -emikpu,fear,0.469
outburst,oké iwe,oké iwe,surprise,0.859
monstrosity,monstrosity,ajọ anụ,fear,0.797
servile,servile,keohu,sadness,0.359
sinner,onye mmehie,onye mmehie,fear,0.483
intimately,nso,nso,fear,0.156
frighten,itu egwu,itu egwu,surprise,0.875
monster,ogologo anụ,ogologo anụ,fear,0.844
joker,onye egwuregwu,onye egwuregwu,joy,0.297
lace,lace,lesi,trust,0.344
arrive,rute,rute,anticipation,0.594
spouse,nwunye,nwunye,trust,0.594
aberration,aberration,ịpụ,disgust,0.531
tree,osisi,osisi,joy,0.09
snubbed,gbuo,ileghara anya,anger,0.422
vivacious,dị egwu,dị egwu,joy,0.734
exciting,na -akpali akpali,na -akpali akpali,joy,0.853
repulsion,nchupu,egwu,disgust,0.727
struggle,mgba,mgba,fear,0.719
disapprove,ajụghị,ajụghị,sadness,0.453
supporter,onye nkwado,onye nkwado,joy,0.18
quote,see okwu,see okwu,surprise,0.141
abacus,abacus,abakọsụ,trust,0.406
entertainment,ntụrụndụ,ntụrụndụ,trust,0.344
harmful,na -emerụ ahụ,na -emerụ ahụ,fear,0.797
fort,ike,ike,trust,0.562
bale,bale,ihe ọjọọ,fear,0.297
shorty,dị mkpụmkpụ,dị mkpụmkpụ,trust,0.289
brotherhood,òtù ụmụnna,òtù ụmụnna,trust,0.82
breezy,ikuku ikuku,ikuku ikuku,joy,0.219
newlife,ndu ohuru,ndụ ọhụrụ,joy,0.618
communication,nkwukọrịta,nkwukọrịta,trust,0.625
perfect,zuru oke,zuru oke,anticipation,0.445
subvert,ịgbaghari,ịgbaghari,disgust,0.398
cruelty,obi ojoo,obi ọjọọ,anger,0.833
award,onyinye,onyinye,anticipation,0.641
die,nwụọ,nwụọ,fear,0.766
slay,gbuo,gbuo,anger,0.719
unwind,tụsaratụ,tụsaratụ,joy,0.281
atrophy,atrophy,mbelata ihe,sadness,0.719
youth,ntorobịa,ntorobịa,anticipation,0.492
allure,rata,rata,surprise,0.406
unfair,adighi mma,adighi mma,disgust,0.281
northeast,n'ebe ugwu ọwụwa anyanwụ,n'ebe ugwu ọwụwa anyanwụ,fear,0.088
deplorable,ihe ojoo,ihe ihere,anger,0.766
scrapie,scrapie,skrapi,sadness,0.281
lawsuit,ikpe,ikpe,fear,0.562
wrath,iwe,iwe,fear,0.609
newbeginnings,mmalite ọhụrụ,mmalite ọhụrụ,joy,0.693
struggles,na -agba mgba,na -agba mgba,trust,0.328
revere,sọpụrụ,sọpụrụ,joy,0.594
guillotine,guillotine,igwe,disgust,0.617
brilliant,amamiihe,amamiihe,anticipation,0.461
friendly,enyi na enyi,enyi na enyi,trust,0.547
fatty,abuba,abuba,sadness,0.312
quake,ala ọma jijiji,ala ọma jijiji,fear,0.812
complaint,mkpesa,mkpesa,anger,0.485
approving,na -akwado,na -akwado,trust,0.695
goodness,ịdị mma,ịdị mma,anticipation,0.438
humorous,ọchị,ọchị,joy,0.562
singularly,dị n'otu,dị n'otu,surprise,0.188
aspiration,ọchịchọ,ọchịchọ,joy,0.485
present,ugbu,ugbua,trust,0.453
boyfriend,enyi nwoke,enyi nwoke,joy,0.48
lesson,nkuzi,nkuzi,trust,0.461
restriction,mgbochi,mgbochi,sadness,0.438
tribunal,ụlọikpe,ụlọikpe,anticipation,0.43
coup,ọchịchị,ọchịchị,surprise,0.609
princely,nwa eze,nwa eze,anticipation,0.484
blemish,nkwarụ,nkwarụ,disgust,0.531
smiles,ọchị ọchị,ọchị ọchị,joy,0.766
morgue,ebe a na -edebe ozu,ebe a na -edebe ozu,disgust,0.773
jaundice,jaundice,ilu,fear,0.359
desist,kwusi,kwusi,disgust,0.281
grave,ili,ili,sadness,0.727
retaliation,mmegwara,mmegwara,fear,0.641
guidelines,ụkpụrụ nduzi,ụkpụrụ nduzi,fear,0.062
immaturity,akabeghị aka,akabeghị aka,anticipation,0.273
break,gbajie,gbajie,surprise,0.461
dance,ịgba egwu,ịgba egwu,trust,0.359
uninvited,a na -akpọghị,a na -akpọghị,sadness,0.344
guarded,echebere,echebere,trust,0.602
statement,nkwupụta,nkwupụta,trust,0.547
monetary,ego,ego,anticipation,0.547
duel,duel,dul,fear,0.562
slut,onye nzuzu,onye nzuzu,anger,0.578
offender,onye mejọrọ,onye mejọrọ,disgust,0.484
apologetic,na -arịọ mgbaghara,na -arịọ mgbaghara,trust,0.5
torment,mmekpa ahụ,mmekpa ahụ,fear,0.806
sappy,sappy,ụtọ,trust,0.273
excite,kpalie,kpalie,anger,0.191
true,eziokwu,eziokwu,trust,0.789
carnivorous,onye na -eri anụ,onye na -eri anụ,fear,0.531
newjob,ọhụrụ,ọhụrụ,fear,0.266
treasures,akụ,akụ,joy,0.712
enjoy,enwe,enwe anwụrị,trust,0.484
sparkle,mgbuke,mgbuke,anticipation,0.484
guidance,nduzi,nduzi,trust,0.688
wrongful,ezighi ezi,ezighi ezi,sadness,0.484
fade,ịjụ oyi,ịjụ oyi,trust,0.359
chirping,na -eti mkpu,na -eti mkpu,joy,0.328
sequestration,sequestration,ikewapụ ihe,sadness,0.516
penetration,ntinye,ntinye,fear,0.531
disagreement,ekwenyeghi,ekwenyeghi,anger,0.348
regardless,agbanyeghị,agbanyeghị,trust,0.391
church,ụka,ụka,joy,0.242
instability,enweghi ike,enweghi ike,disgust,0.328
abrupt,mberede,mberede,surprise,0.703
pretty,mara mma,mara mma,anticipation,0.414
triumph,mmeri,mmeri,joy,0.742
flagship,ọkọlọtọ,ọkọlọtọ,trust,0.469
salutary,ekele,ekele,joy,0.465
hooded,kpuchie isi,kpuchie isi,fear,0.266
scolding,ịba mba,ịba mba,anger,0.703
smuggler,onye na -agba ọgwụ mgbochi,onye na -agba ọgwụ mgbochi,anger,0.485
erratic,na -adịghị ike,na -adịghị ike,surprise,0.75
victor,onye mmeri,onye mmeri,joy,0.667
