word,machine,human,label,emotion_intensity_score
descent,zuriya,zuriya,sadness,0.377
shank,shank,daɓa wuƙa,fear,0.328
grisly,grisly,tunku,disgust,0.727
bloodthirsty,masu shan jini,masu shan jini,anger,0.875
exciting,mai ban sha'awa,mai ban sha'awa,anticipation,0.797
perverse,karkatattu,karkatattu,fear,0.438
determinate,ƙaddara,ƙaddara,anticipation,0.477
slayer,mai kisan kai,mai kisan kai,fear,0.844
leisure,dama,dama,joy,0.515
massacre,kisan gilla,kisan gilla,anger,0.882
patronising,patronizing,zuwa,anger,0.5
threatening,barazana,barazana,anger,0.882
hilarity,walwala,walwala,joy,0.606
nobility,daraja,daraja,anticipation,0.352
possibility,yiwuwar,yiwuwar,anticipation,0.641
endless,mara iyaka,mara iyaka,sadness,0.328
feeling,ji,ji,anticipation,0.555
delay,jinkiri,jinkiri,disgust,0.297
uneasiness,rashin kwanciyar hankali,rashin kwanciyar hankali,anticipation,0.555
disallowed,an hana,an hana,fear,0.406
perjury,ƙarya,ƙarya,surprise,0.414
firstborn,ɗan fari,ɗan fari,joy,0.531
enchant,sihiri,sihiri,surprise,0.422
zest,zagi,zagi,joy,0.516
unique,na musamman,na musamman,joy,0.375
agoraphobia,agoraphobia,tsoron wurare,fear,0.688
boil,tafasa,tafasa,disgust,0.492
emergency,gaggawa,gaggawa,fear,0.719
flowers,furanni,furanni,joy,0.406
morals,dabi'u,ɗabi'u,surprise,0.203
patience,hakuri,haƙuri,anticipation,0.422
muddy,laka,laka,disgust,0.461
sneeze,atishawa,atishawa,disgust,0.312
sympathize,tausaya,tausaya,sadness,0.438
grievance,korafi,ƙorafi,sadness,0.53
desolation,kufai,kufai,sadness,0.797
abandonment,watsi,watsi,sadness,0.859
singing,yin waka,yin waƙa,joy,0.591
unwavering,mara yankewa,mara yankewa,trust,0.672
heroism,jarumtaka,jarumtaka,anticipation,0.555
sick,rashin lafiya,rashin lafiya,disgust,0.578
giddy,giddy,sa jin daɗi,joy,0.757
eagerness,himma,himma,anticipation,0.812
displacency,rashin daidaituwa,rashin daidaituwa,disgust,0.414
coldness,sanyi,sanyi,fear,0.375
restless,m,rashin hutu,fear,0.204
hypertrophy,hauhawar jini,hauhawar jini,surprise,0.328
alive,da rai,da rai,joy,0.531
morals,dabi'u,ɗabi'u,anger,0.141
putative,sakawa,sakawa,trust,0.477
prognosis,hangen nesa,hangen nesa,fear,0.217
aksesoris,aksesoris,taimakawa,trust,0.32
resisting,tsayayya,tsayayya,sadness,0.309
hunger,yunwa,yunwa,anger,0.235
responsible,alhakin,alhaki,trust,0.789
hate,ƙiyayya,ƙiyayya,anger,0.828
terrorist,'yan ta'adda,'yan ta'adda,disgust,0.82
wack,wack,baƙon abu,trust,0.188
liberate,'yantarwa,'yantarwa,anticipation,0.695
insulting,zagi,zagi,anger,0.652
pawn,farar fata,idc,trust,0.211
warned,yayi gargadi,ya yi gargaɗi,anticipation,0.57
disqualified,wanda bai cancanta ba,wanda bai cancanta ba,anger,0.328
checklist,lissafin lissafi,lissafin lissafi,trust,0.586
urn,wuta,wuta,sadness,0.562
intercede,c interto,ceto,sadness,0.344
quaint,m,tsohon yayi,joy,0.297
venerable,mai daraja,mai daraja,joy,0.279
defend,kare,kare,fear,0.25
calming,nutsuwa,nutsuwa,joy,0.47
shepherd,makiyayi,makiyayi,trust,0.508
aspiration,buri,buri,anticipation,0.648
falsity,ƙarya,ƙarya,disgust,0.43
deceitful,yaudara,yaudara,sadness,0.562
pilot,matukin jirgi,matukin jirgi,trust,0.57
weight,nauyi,nauyi,surprise,0.117
succeed,yi nasara,yi nasara,trust,0.555
disgraceful,wulakanci,wulaƙanci,disgust,0.625
koo,kowa,koo,trust,0.211
quarantine,killace masu cuta,killace masu cuta,fear,0.578
cyst,mafitsara,mafitsara,fear,0.391
perpetuity,dawwama,dawwama,trust,0.516
haste,gaggawa,gaggawa,anticipation,0.523
immediacy,gaggawa,gaggawa,surprise,0.523
disinclined,rashin son zuciya,rashin son zuciya,disgust,0.25
strong,karfi,karfi,trust,0.562
harry,harry,damu akai-akai,anger,0.212
atpeace,lafiya,lafiya,joy,0.727
healing,waraka,waraka,anticipation,0.578
sing,raira waƙa,raira waƙa,joy,0.729
traitor,mayaudari,mayaudari,disgust,0.602
explore,bincika,bincika,anticipation,0.695
provoking,tsokana,tsokana,anger,0.578
delusion,rudu,ruɗu,fear,0.422
disease,cuta,cuta,anger,0.341
treacherous,mayaudari,mayaudari,disgust,0.57
university,jami'a,jami'a,anticipation,0.406
unlawful,haram,haram,fear,0.519
thelife,rayuwar,rayuwar,joy,0.578
scourge,bulala,bulala,fear,0.609
treachery,ha'inci,ha'inci,anger,0.719
condemnation,hukunci,hukunci,anger,0.672
forsaken,watsi,watsi,sadness,0.719
redeemed,fansa,fansa,joy,0.375
favorite,fi so,fi so,trust,0.484
fearful,mai tsoro,mai tsoro,fear,0.766
idiotic,wawa,wawa,anger,0.516
rip,tsage,tsage,sadness,0.422
cream,kirim,kirim,anticipation,0.273
gage,gaba,gaba,trust,0.383
prohibited,haramta,haramta,anger,0.328
despise,raina,raina,anger,0.75
segregate,ware,ware,sadness,0.469
accursed,la'ananne,la'ananne,anger,0.588
soannoyed,soannoyed,fusace sosai,anger,0.588
destination,manufa,manufa,fear,0.109
questionable,m,abin tambaya,disgust,0.234
syncope,syncope,suma,fear,0.562
surcharge,kari,ƙari,anger,0.136
eventuality,mai yiwuwa,mai yiwuwa,fear,0.141
impending,mai zuwa,mai zuwa,anticipation,0.664
picket,picket,masu zanga-zanga,anger,0.378
inhibit,hana,hana,sadness,0.312
wrinkled,wrinkled,yamutsewa,sadness,0.297
cabinet,majalisar,majalisa,trust,0.438
disability,nakasa,nakasa,sadness,0.648
medical,likita,likita,anticipation,0.438
happyday,barka da rana,barka da rana,joy,0.809
devastating,m,mai matuƙar lalacewa,trust,0.227
morgue,dakin ajiye gawa,ɗakin ajiye gawa,fear,0.844
fang,fang,fiƙa,fear,0.516
fixed,gyarawa,gyarawa,trust,0.422
hadenough,isa,isa,anger,0.546
vibes,vibes,jin daɗi,joy,0.379
illness,rashin lafiya,rashin lafiya,fear,0.609
bedrock,gindin gado,gindin gado,trust,0.617
wither,bushe,bushe,sadness,0.516
glum,gumi,gumi,sadness,0.547
deceived,yaudara,yaudara,anger,0.562
lovable,abin ƙauna,abin ƙauna,joy,0.773
phew,fawa,fawa,fear,0.203
forewarned,gargadi,gargadi,fear,0.25
restitution,ramuwa,ramuwa,anger,0.281
grant,ba,ba,trust,0.594
ohshit,ohshit,rashin jin daɗi,fear,0.766
exaltation,daukaka,ɗaukaka,trust,0.445
ejaculation,fitar maniyyi,fitar maniyyi,trust,0.273
sweet,mai dadi,mai dadi,trust,0.484
governor,gwamna,gwamna,trust,0.453
instinctive,ilhami,ilhami,disgust,0.258
bomb,bam,bam,fear,0.935
outcast,wanda aka kore,wanda aka kore,fear,0.388
misfortune,masifa,masifa,fear,0.562
earn,sami,sami,trust,0.562
mlk,mlk,MLK,trust,0.438
repay,biya,biya,anticipation,0.492
joyful,m,mai jin murna,trust,0.586
peaceful,zaman lafiya,zaman lafiya,anticipation,0.422
green,kore,kore,joy,0.137
simplify,sauƙaƙe,sauƙaƙe,anticipation,0.383
coexist,zama tare,zama tare,trust,0.641
plight,wahala,wahala,anticipation,0.461
curfew,dokar hana fita,dokar hana fita,trust,0.383
hanging,rataye,rataye,fear,0.641
erotic,na batsa,na batsa,anticipation,0.641
skid,skid,zamiya,sadness,0.312
ceremony,bikin,biki,joy,0.455
reward,sakamako,sakamako,joy,0.625
elimination,kawarwa,kawarwa,disgust,0.453
incomplete,bai cika ba,bai cika ba,sadness,0.25
insolvency,rashin kunya,rashin kunya,surprise,0.266
salute,gaisuwa,gaisuwa,trust,0.492
amazingly,abin mamaki,abin mamaki,surprise,0.648
glorify,ɗaukaka,ɗaukaka,joy,0.781
sortie,iri,iri,fear,0.359
disappointments,takaici,takaici,trust,0.203
career,sana'a,sana'a,anticipation,0.453
rejection,kin amincewa,ƙin amincewa,trust,0.273
infectious,mai kamuwa da cuta,mai kamuwa da cuta,fear,0.703
noworries,ba damuwa,ba damuwa,joy,0.453
bottom,kasa,ƙasa,sadness,0.223
disillusionment,rashin kunya,rashin kunya,anger,0.375
decorating,ado,ado,joy,0.303
