word,label
opa ebiti,negative
o se,positive
yẹyẹ,negative
tọ́tá,negative
ìfàsẹ́yìn,negative
loluwa,positive
na ìyá ẹ̀,negative
atiniloju,negative
ìdìnkú,negative
iyanju,positive
emi ase pupô,positive
júbà,positive
ẹkún,negative
otito,positive
tilẹ̀kùn,negative
soogun owo,negative
ìròyìn ẹlẹ́jẹ̀,negative
lọ̀rẹ̀ẹ́,positive
gbàgbátí,negative
elétí ikún,negative
dí ọ̀nà,negative
lówó,positive
ilekun ayo,positive
gbémi,positive
lágbà,positive
kágún,negative
jàjẹjù,negative
ìwà ìmọ́tára ẹni,negative
isowo po,positive
suru,positive
tèmi dire,positive
rorun,positive
owoori,negative
olùgbégbá orókè,positive
ńpa,negative
lágídò,negative
ilẹ̀ tútù,positive
lẹ́kọ̀ọ́,positive
gbo ewuro,negative
ọ̀pẹ,positive
àìmọ iṣẹ́ kọ̀,negative
fẹ ǹkan ṣe,positive
iy,positive
èlédùà,positive
ogbon,positive
petele,positive
omi,positive
ṣọ̀rẹ́,positive
pọ́n ìtalẹ̀ lójú,negative
sagbara dotun,positive
yó,positive
ayò,positive
fóníre,positive
láàdúrà,positive
ó rẹ̀ mi,negative
iluoba,positive
ololuffe,positive
olofo,negative
gbadura,positive
lole,negative
palapala,negative
yanu,positive
àṣẹjèrè,positive
seria,negative
jefo,negative
ògo,positive
ajuwa,positive
arìnyà,negative
alakoba,negative
ajẹ́,positive
idunu,positive
ṣakitiyan,positive
dágbére fáyé,negative
eleriibu,negative
alágánnà,negative
owóìpè,positive
aàrùn,negative
yinni yinni,positive
ba omo molebi tabi ara e lopo,negative
àlékún,positive
pese,positive
jono,negative
bójú mu,positive
accept,positive
kẹ́,positive
níre níre,positive
àpọ́ńlé,positive
ọngbe,negative
moriwu,positive
aláṣọ pípọ́n,negative
ìsìnkú,negative
mekunun,negative
àmúaradàgbà,positive
bọ́jọ́ yọ,positive
àníyàn,positive
gìrìgìrì,negative
káṣá,negative
sẹ́só,negative
olaju,positive
tẹ̀síwájú,positive
irawo owuro,positive
sù mi,negative
gbófo,negative
ile ejo,negative
fajúro koko,negative
ìyìn,negative
ré kọjá ewé,negative
ńdènà,negative
omiigo,negative
ìlọsiwaju,positive
ajinde,positive
relè,negative
dóṣìpaàgbàànà,negative
àwátì,negative
ṣatilẹyin,positive
forí kóo,negative
daṣẹ́wó,negative
aigbagbe,positive
amoran,positive
gbemi le,positive
ọ̀pẹ̀,positive
rọ,negative
fífọ́,negative
fi enu ko japin,negative
ṣiyèméjì,negative
kólà,positive
ìwà ìdọ̀tí,negative
oku iya,negative
ga,positive
ojúmọ́,positive
o dodo,positive
janguda,negative
òsì,negative
pọpọ sinsin,positive
iyo,positive
solénù,negative
gbówó lórí,negative
pẹ̀tù,positive
oníjìbìtì,negative
iyapa,negative
iji ja,negative
àjíǹde,positive
àṣírí ń tú,negative
àdániwáyé,positive
da lamu,negative
lòrìṣà,positive
dabobo,positive
pele,positive
larewà,positive
òrom̀bó,negative
ìró,negative
àbùṣébùṣe,positive
gáfárà,positive
ikunle abiamo oooooo,negative
omo iya,positive
lewa,positive
ọ̀jọ̀gbọ́n,positive
pálapàla,negative
àse,positive
ijakule,negative
ebí,negative
tirilionu,positive
jànánjànán,negative
pani lẹ́rìnín,positive
àfowófà,negative
òkóbó,negative
kayin lara,negative
kóríburúkú,negative
ìgbésókè,positive
kù,negative
dojuti,negative
abẹ́ ààbò,positive
agö,negative
aseyi semi,positive
jaiye,positive
ilera,positive
lọ́balọ́ba,positive
pòórá,negative
aṣiwere,negative
loje,negative
ìpamọ́ ọ̀rọ̀,negative
oji re,positive
ilosiwaju,positive
san ni,positive
jesu,positive
egungun eja,negative
jambaeni,negative
àìṣòdod,negative
onijamba,negative
lère,positive
ishiti,positive
atata,positive
fara sin,positive
abuke,negative
yegi,negative
dángájíá,positive
aaji re bi,positive
feleduwa,positive
ahun,negative
dáà,positive
túfọ̀,negative
inu mi din,positive
darijì,positive
lojutu,positive
ngbáni,negative
ṣowó,positive
lewà,positive
sa,positive
musàn,positive
igunpa,negative
ragba,negative
ńjá,negative
saanu,positive
sumi,negative
ma de be ma tu koja,positive
ọlọ́ṣà,negative
mẹ́hẹ,negative
ẹ̀tàn,negative
ilani loye,positive
dise,negative
sowo,positive
ìkójanuara,positive
dèèmọ̀,negative
idakẹjẹ,positive
kò bá kùngbẹ́,negative
olóòótọ́,positive
ofon,negative
niyi,positive
rírọ̀,positive
ìṣọ̀nú,negative
sunre,positive
daaju,negative
àìfinǹkanpenǹkan,negative
omímulé,negative
sán pa,negative
tàkìtàn,negative
dáa,positive
pàsípaàrọ̀paàrọ̀,negative
ìwọ̀túnìwòsì,positive
abiyamo,positive
ohun tí wọn ò tó,negative
lẹ́bọ,negative
ẹ̀gàn,negative
adúpẹ,positive
ekunrere,positive
ẹ̀mí á ṣọ̀pọ̀,positive
àfènìyànpènìyàn,negative
dẹ̀dẹ̀,positive
alawada,positive
òlooto,positive
ara yá gágá,positive
akinkanju,positive
adun,positive
dúpé,positive
pẹlẹ,positive
elétígbàròyé,positive
abirun,negative
ajoji,negative
oireayo,positive
ìkórè,positive
oògo,positive
fidi remi,negative
ọ̀bùn,negative
opelope,positive
aṣebí,negative
nkóre,positive
àpèmọ́nra,positive
akuri,negative
more,positive
e ku ise,positive
ìdọ̀tí,negative
dànù,negative
arintakiti,positive
eja nla,positive
jiya,negative
kíàtó,negative
emi e ta kaiti,negative
opuro,negative
ọlọ́run,positive
gbé,positive
lọ́pọlọ,positive
elégbò,negative
lọlẹ́,negative
amin,positive
ole,negative
tuntu,positive
mansaré,positive
egan,negative
adanwo,negative
adojutini,negative
akọni,positive
rìkísí,negative
àrìnnàkore,positive
atunluse,positive
ri ba ti se,positive
gun,positive
ìkorò,negative
áìkú,positive
nírọ́,negative
alaafia,positive
sógbón,positive
ribiribi,negative
ori yin kuku ti daru,negative
àìkúbaálẹ̀ọrọ̀,positive
ifa,positive
etan,negative
ṣépè,negative
saati,positive
ààrùn,negative
kún,positive
òmìnira,positive
wúrà,positive
igberaga,negative
jí ware,positive
asokale anfani,positive
lẹ́ṣọ̀ọ́,positive
forí sọgi,negative
ojú tì ọ́,negative
tikuku,negative
ìbálòpọ̀,positive
iope,positive
gbàámù,negative
ìwà,positive
ọlọ́hun,positive
seni laanu,negative
àmì àìsàn,negative
isonu,negative
ayarabiasa,positive
arojúowó,negative
gbùrù,negative
júṣe,positive
o la fiwe,positive
isińmi,positive
gbówó,positive
ibajee,negative
janra rẹ̀ mọ́lẹ̀,negative
wírù,negative
yẹyẹlé,positive
joyè,positive
powó,positive
ma ńbí mi,negative
dotun,positive
láṣẹ,positive
ìbọ̀kubọ̀,negative
gbore,positive
òórùn,negative
bu igi je,negative
àdó olóróo,negative
àsálà,negative
àpèkánukò,positive
níre,positive
gbére,positive
adura,positive
yọ́,positive
gbóhùn ìyá,positive
ayanfe,positive
iro,negative
gbajúmọ̀,positive
ike,positive
olóríkórí,negative
ẹnu àtẹ́,negative
àfiẹ́yìn,negative
ọ̀la,positive
luwon,negative
tewon de,negative
lolorun,positive
eewu,negative
fa ako yo,negative
àsùnjí,positive
folore,positive
akunwosile,positive
ọ̀tunọ̀tun,positive
gbọ̀ndí,negative
kogbon,negative
ogun,negative
ṣọ́ra,positive
àbámọ̀,negative
lonle,negative
idariji,positive
odûn,positive
fi erigi jobi,positive
àìșe déédéé,negative
ìkíni ọlọ́yàyà,positive
alainironu,negative
shamona,positive
abinu,negative
gbiyanju,positive
ologbonoro,positive
wo gau,negative
para,negative
ṣeb,negative
ìsimin,positive
pase,positive
ire fẹ̀nfẹ̀,positive
sọ́pẹ́,positive
àtowó,positive
sun re o,positive
lukudi,negative
ọpẹ́ẹ,positive
edakun,positive
dáadáa,positive
adanu,negative
nitoto,positive
bú,negative
bílíọ̀nù,positive
a laanu,positive
ariwo ikunle abiyamo,negative
irọ,negative
omugo,negative
fìyà,negative
kedumare,positive
yàyààkuyà,negative
ji,negative
jẹ́rìí,positive
badiloki,negative
yọrí sí rere,positive
lai lábùkù,positive
kàṣàì tù wá,positive
ẹbọ,negative
alọni lọwọ,negative
àfàtó,negative
apanije,negative
jegudujera,negative
fọ́,negative
ibinu,negative
alagidi,negative
gbemi,negative
òdáran,negative
àrùn jẹjẹrẹ,negative
lágara,negative
mú ojú to,positive
odaju,negative
eedi,negative
feku,positive
ìṣekúṣe,negative
so sini lenuo,negative
ìjọba àpapọ̀,positive
ṣọ̀tá,negative
káràmásìkí,positive
eto,positive
ja iwe fun,negative
ọmọ rere,positive
rogun,negative
ṣoríire,positive
àwàdà,positive
ojobi,positive
ajiire,positive
ìjẹgúdújẹrá,negative
afenifebi,negative
ologo,positive
ajirebi,positive
egun,negative
wọn ò lẹ́kọ̀ọ́,negative
adániwáyè,positive
nbaje,negative
haha,negative
ta mi lára,negative
igba oroke,positive
jimoh,positive
ogún,negative
bẹ̀rù,negative
olojoibi,positive
ikan o gbekan,negative
ẹ̀tọ́,positive
fẹ́,positive
iyebiye,positive
wobia,negative
lowó,positive
dẹrún,positive
iwofa,negative
fẹ̀sọ̀,positive
pagúnugún,negative
ẹ̀rí ìfẹ́,positive
ire rìbìtì,positive
òṣì,negative
oge,positive
eré,positive
parada,positive
erè,positive
aàrún,negative
atifokanbale,negative
àkàrà òyìnbò,positive
olodumare,positive
eleribu,negative
ijanmba,negative
ìpinnu,positive
ọlọ́pọlọ,positive
dààmú,negative
re,positive
dà,negative
àkekèé,negative
dìgbòlugi,negative
jeya,negative
jèrè,positive
aṣiwè,negative
edun okan,negative
farígá,negative
orí burúkú,negative
jo,negative
wura,positive
ọbaafúnniṣe,positive
ọmọ játijàti,negative
atike,positive
ṣíra,negative
òdodo,positive
kẹ́rú,positive
olòṣì,negative
buburu,negative
atęnuję,negative
eje ru,negative
ìfe,positive
rirun,negative
ẹlẹ́jẹ̀,negative
ọ̀gbọ́n,positive
ológun,negative
damu,negative
ṣíọ̀,negative
finú ṣoyún,positive
ìgbìyànjú,positive
alárà,positive
amebo,negative
nìyí,positive
iyebíye,positive
rẹ́rẹ́,positive
karaole,positive
eye,positive
efon,negative
yinban pa,negative
ashewo,negative
aṣẹ,positive
agbèrò,negative
asasi,negative
koja,positive
akóṣìbérò,negative
fa gbùrù,negative
ranti,positive
ago,negative
inú ma ńbí mi,negative
eseun,positive
mọyì,positive
á júṣe,positive
bilisi,negative
fola,positive
ona shi,positive
iranu,negative
inù wá dun,positive
fẹsẹ̀ kọ,negative
ìkọkúkọ,negative
pẹrú,negative
joba,positive
fipá,negative
ibere,positive
yahooyahoo,negative
fọ àgbọn,negative
àìmète àìmèrò,negative
àáfà alágánnà,negative
eriokan,positive
were,negative
gbamu gbamu,positive
lọgbọ́n,positive
sekú,negative
yí dànù,negative
dìndìnrìn,negative
ìlérí,positive
osika,negative
pàtàkì,positive
ìwòsàn,positive
akobata,negative
làákáyè,positive
tẹ̀pá ìlẹ̀kẹ̀,positive
alakori,negative
mafo,positive
shofo,negative
awíbẹ́ẹ̀jẹ́bẹ́ẹ̀,positive
bùyọ,positive
oríire,positive
ó tún buyọ̀,positive
oloun,positive
àjẹmọ́nú,positive
àjẹdọ́ba,negative
asiere,negative
wéré,negative
ọdun,positive
ajoyo,positive
ateramoshe,positive
da wàrà nù,negative
ojú ń tì,negative
àjígẹ̀,positive
da gbere fun aiye,negative
dudu,positive
sinmi,positive
kérésìmesì,positive
lágbọ̀nọ́n jù,negative
àìní ìforítì,negative
iyùn,positive
ṣá,negative
fọwọ́sí,positive
kosowo,negative
ààfin,positive
kun,positive
oro ishiti,positive
ìdaṣẹ́sílẹ̀,negative
aìkú,positive
oreofe,positive
segbe,negative
fi owo pa ewu,positive
ìgbádùn,positive
oró,negative
oga,positive
fajúro,negative
atura,positive
nípakúpa,negative
ominira,positive
dupẹ,positive
wóo,negative
yẹni,positive
gbosa,positive
ìwọ̀sí,negative
ayọ̀,positive
ẹ̀ṣẹ,negative
ayesi,positive
káre,positive
ọmọ ọkọ,positive
gbóhùn ọmọ,positive
aamin,positive
ọkanjuà,negative
jàgídíjàgan,negative
re ìwàlẹ̀àsà,negative
lejú,positive
rìnhòòhò,negative
ajinido,negative
ojusaaju,negative
àlùmọ́ọ́nì,positive
doju ti,negative
fìlà má wobẹ̀,negative
jésù,positive
àyájọ́,positive
da ọjà rú,negative
kò lọ́pọlọ,negative
abiamọ,positive
kòtò,negative
idunnu,positive
daran,negative
ku ori ire,positive
foju bale ejo,negative
ębi,negative
dọ́ta,negative
gbe omo sin,negative
ààbò,positive
jẹ́jẹ́,positive
egbe,positive
aíṣòdodo,negative
gbagbo,positive
yọnu,negative
ìbẹ̀rù bojo,negative
ijamba,negative
ṣawerepèpè,negative
jẹgúdújẹrá,negative
kákú,negative
jagun aye,negative
ja soja,negative
ìbọn,negative
jiire,positive
lékún,positive
ibi giga,positive
tọ̀nà,positive
eyan lasan,negative
ìgbàgbé,negative
èpè,negative
pose,negative
ìparun,negative
aseju,negative
akàn,positive
á rúwé,positive
kabiesi,positive
ríre,positive
sowó,positive
elede,negative
ìnira,negative
dẹ́kun,positive
nà,negative
dìkòtó,positive
jagun,negative
yi,positive
àgbẹdọ̀,negative
dábírà,positive
ṣètùtù,negative
àrìnnàkòre,positive
yín,positive
ómó ókò,positive
láàánú,positive
meeri,negative
àrugisẹ́gi,negative
apapapandodo,negative
alásàs,negative
kí kú,negative
pami,negative
dín,negative
àtubọ̀tán,positive
parọ́,negative
ala,positive
gúnrégé,positive
ọmọlúàbí,positive
aláìníṣẹ́,negative
ọjọ àlayọ̀,positive
ẹ ku ọdún,positive
àìgbọ́n,negative
iluogbon,positive
awure,positive
ọ̀nà àbáyọ,positive
wàhálá,negative
láìkú,positive
opé,positive
lógo,positive
àlè,negative
jáwálẹ̀,negative
ojojo,negative
ọlọgbọ́n,positive
parun,negative
owujije,negative
gbémi lékè,positive
ọ́pẹ́,positive
gbó̩n,positive
eewo,negative
ṣojo,negative
efara bale,positive
àfọwọ́fà,negative
lẹtọ,positive
ìdágbẹ́,negative
àhesọ,negative
lárugẹ,positive
tùwọ́n nínú,positive
a jii re bi,positive
tu asiri,negative
olori,positive
inú mi dùn,positive
inu a si bi mi,negative
olóṣèlú,negative
idagbasoke,positive
ko ni wo,negative
su saaga,negative
aadun,positive
koju,negative
fáàrí àṣejù,negative
lotun,positive
gaa,positive
ìgàn,positive
ìbínú,negative
da orì ko,negative
láàpọ́njù,negative
jeje,positive
jale,negative
ọlọ́pẹ,positive
òmùgọ̀,negative
oníwà tùtù,positive
didun,positive
siregun,negative
èlédùwà,positive
gbaiwajuiwaju,positive
gba ijoba,negative
kasa kasa,negative
loke,positive
eemo,negative
ko bojumu,negative
ake,negative
pa ọmọlọ́mọ lẹ́kún,negative
gbàlù,positive
aláwo ire,positive
tún nàìjíríà ṣe,positive
àtàlááfíà,positive
báre,positive
ayun lo,positive
inu,positive
akindanidani,negative
olówó,positive
mùdùnmùdùn,positive
ifipa bani lopo,negative
oto,positive
aforijin,positive
dá wa sí,positive
àjànàkúu,positive
kàbùkù,negative
kónílégbélé,negative
ìdẹ̀rùn,positive
bírọ́,negative
olúborí,positive
koba,negative
pọntí,positive
akoba,negative
iyìn,positive
olóṣèlúu,negative
kanju,negative
ki,positive
èbi,negative
ìṣọ̀kan,positive
fire,positive
igbeyawo,positive
edumareogo,positive
olote,negative
sùmíìtì ètè,negative
bíbẹ́,negative
ẹ̀rù,negative
alase,positive
ọba lọ́la,positive
ńṣàwúre,positive
elépè,negative
ẹṣin inú ìwé,negative
oludaabobo,positive
ọlọ́jọ́ ìbí,positive
òjòjò,negative
èsùn,negative
ìgárá ọlọ́ṣà,negative
aláàánúùn,positive
ofe,positive
dàgbàyà,negative
anikun owo,positive
lẹ̀ṣọ́,positive
naira,positive
opura,negative
run,negative
afoju,negative
batise,positive
fagilé,negative
yo apoti ni idi,negative
ya abo,positive
ona abayo,positive
híhòhò,negative
toluwa,positive
lọ́ṣẹ́,negative
ke,positive
ododo,positive
lákọ̀tun,positive
ìṣẹ́,negative
ọba òkè,positive
daradara,positive
gbomo gbomo,negative
pàntí,negative
awati,negative
rógun,negative
wonbiliki,negative
àdanwò,negative
bíre,positive
inú wa dùn,positive
jole,negative
wó,negative
àjẹ́,negative
abosi,negative
wọ́dẹ́ ń híhòhò,negative
láya,positive
ako,negative
yepere,negative
òmíràn,positive
pàṣẹ,positive
koya,negative
sunkún,negative
párun,negative
ṣiṣẹ́ abẹ,negative
àsàkásà,negative
ojelu,negative
ọ̀sé,negative
ọ̀wọ́n gógó,negative
ìbánújé,negative
gbẹ̀yẹ,positive
àrìrá,negative
omolomo laa ran nise de torutoru,negative
ẹsẹ̀,negative
jaaja,negative
tanrawa jẹ,negative
makanju,positive
seregun,negative
àlááfìà,positive
ìmọ̀,positive
kunmo,negative
ajíṣere,positive
gbega,positive
aitete,negative
orí ire,positive
àjòjì,negative
ọgbọ́n àrékérekè,negative
ìwúre,positive
ínúure,positive
ìninilára,negative
ore ofe,positive
ma se fi owo osi juwe ile baba ati iya,negative
ìyànjẹ,negative
mùọ́mọ́dù,positive
jí,negative
ojumo re,positive
ṣàwúre,positive
idà,negative
èèwọ̀,negative
etí ikún,negative
eru,negative
idagba soke,positive
afibi sure,negative
itura,positive
olúwa,positive
ohun rere,positive
lodun,positive
mosọ́pẹ́,positive
pa okùn so,negative
kansárá,positive
gbemii,negative
atoroje,negative
rofu,negative
ṣòfò,negative
du,negative
rírẹ́nijẹ,negative
odale,negative
ọ̀yọ́ojúlówó,positive
afunni ma siregun,positive
dami si,positive
débi àìkú wà,positive
àsọ̀kalẹ̀ ànfààní,positive
ọrọ ẹyin,negative
ọ̀fẹ́,positive
mímọ́,negative
congratulations,positive
agbofin ro,positive
bàmí ńnú jẹ́,positive
ìtẹríba,positive
agbódegbà,negative
alákorí,negative
tuntun,positive
e se gan,positive
gbọ̀n,positive
olotito,positive
ọwọn,positive
idẹ,positive
omoluwabi,positive
lékè,positive
àjèjì,negative
yankolu yankolu,negative
kókó,positive
yọn gàn,positive
orí yá,positive
aasa,negative
ibi ire,positive
iyán ewú,negative
arinrin,positive
ręwa,positive
ìṣíti,positive
àánú,positive
ìkúùkù,negative
ẹlẹ́tàn,negative
òbẹ,negative
alágbára ayé,negative
layo layo,positive
gbọ́mọ pọ̀n,positive
àlọre,positive
ìrírí ayé,positive
gbekele,positive
olókùnrùn,negative
àdájà logun,negative
masanfani,negative
ategun,positive
lésé,negative
àtàtà,positive
oro iyanju,positive
gberu eleru sori,negative
àtẹ̀pẹ́,positive
alaimore,negative
finá ọmọ,negative
oro aje,positive
shior,negative
súnkẹrẹ fàkẹrẹ,negative
aponle,positive
imura,positive
tẹ́rùn,positive
ẹṣeun,positive
gbena woju,negative
bajẹ,negative
eburu,negative
onijekuje,negative
ketan sare,negative
gbè yín,positive
itiju,negative
pampe,negative
arugbo,positive
rudurudu,negative
abamo,negative
okugbe,negative
ọlọ́ràn,negative
lobaje,negative
tọmọ,positive
pẹ́ láyé,positive
sufayo,negative
gbayì,positive
àsẹ̀,positive
sako,positive
fọpẹ́,positive
bọ́,negative
àfẹnuní,negative
òlódùmaré,positive
aisododo,negative
obo,negative
ayun bo,positive
burukú,negative
afani,positive
ta ni pa,negative
sókùnkùn birimùbirimù,negative
nífẹ̀ẹ́,positive
igbaju gbigbona,negative
arun,negative
ado oloro,negative
solore,positive
wáídù,positive
jeni,negative
iwa ibaje,negative
yunmu yunmu,negative
jàrè,positive
ṣé ún,positive
níbẹ̀rù,negative
ọ̀rọ̀,positive
ojogbon,positive
ilẹ̀ á ṣá,negative
imoran,positive
oree,positive
kòbákùngbẹ́ ọ̀rọ̀,negative
túntún,positive
tọ̀ọ́lé tọ̀ọ́lé,negative
kiolohun kigbe,negative
ẹ̀fọn burúkú,negative
kokoro,positive
ní láárí,positive
ilé ẹjọ́,negative
ìṣáájú,positive
bu yin,negative
fíafìa,negative
ìkìlọ̀,positive
ńfi kú,negative
rérè,positive
ifasehin,negative
yan fanda fanda,positive
já sásán,negative
olupese,positive
aláìnírònú,negative
lèsó,positive
ìrégbè,negative
satileyin,positive
fi orun ke,positive
tomo,positive
dáàbò bo,positive
wara,positive
rogbodiyan,negative
adawole,positive
ògidì,positive
kẹ́gbin,negative
ekún,negative
pidan,positive
kutuojire,positive
ayédèrú,negative
otoju su mi,negative
lọre,positive
báṣubàṣu,negative
ìbon,positive
aláyòlé,positive
itara,negative
dan moran,positive
dòòṣà,positive
isiti,positive
asamodun,positive
ìgbeyàwó,positive
darandaran,positive
jaguda,positive
olókun,positive
déédé,positive
maje,negative
àwámârídìí,positive
kristi,positive
da,positive
túlààsì,negative
go,negative
dùn,positive
olólùfẹ́ẹ̀,positive
àtọ̀yè,positive
buyọ̀,positive
ìbẹ̀rù,negative
lakaaye,positive
ọrọ̀,positive
ọ̀run àrèmabọ̀,negative
àfojúsùn,positive
lọ́rẹ,positive
ówó,positive
kò sọ́wọ́,negative
ti jefo,negative
jare,positive
dewa lorun,positive
pokùnso,negative
fakọyọ,positive
oríre,positive
igi oyin,negative
shaanu,positive
oro,positive
dá lóró,negative
edumare,positive
lekun,negative
ìdààmú,negative
koja ifarada,negative
ejò,negative
alaanu,positive
inu wa dun,positive
ẹni re,positive
ràrìn fẹsẹ̀ sí,negative
akitiyan,positive
tepa mo ise,positive
sòdodo,positive
pana,positive
bá ò kú,positive
ilé ọba,positive
òsèlú,negative
tẹ̀ǹbẹ̀lẹ̀kun,negative
sofo emi,negative
masanfan,negative
ìdàgbàsókè,positive
àbọ̀re,positive
ìṣẹ̀ṣe,positive
sepe,negative
ọ̀wọ́n,negative
ẹni ẹ̀tàn,negative
loro,negative
iwa ibajee,negative
arísìkí,positive
idande,positive
ye,positive
láìṣẹ̀,negative
ofutu fete,negative
sire,positive
ìpamọ́,positive
awada,positive
ọgaogo,positive
a gö,negative
elédùmare,positive
opolo,positive
níbi gíga,positive
rọgbọ,positive
apani,negative
faari,positive
lòótọ́,positive
eni apewo,positive
ìdanilẹ̀kọ̀ọ́,positive
ase yori,positive
lábẹ́ gbígbóná,negative
fúlàní darandaran,negative
ni simi,positive
oroaje,positive
rán yín lọ́wọ́,positive
sayeye,positive
ihale,negative
mọ́ṣááláṣí,positive
aláfíà,positive
toyin,positive
kó eyin wọlé,negative
ọdún,positive
ọlọ́pọlọ pípé,positive
ìjẹkújẹ,negative
sòsé,positive
ami,positive
adaran,negative
ọlọ́run ọba,positive
ṣọpẹ́,positive
ṣe ni láàánú,negative
àrìnàkore,positive
ajá,negative
eleyameya,negative
ìgbónsè,negative
ọ̀mútí,negative
òkùnkùn,negative
gbe mi ga,positive
gba ẹ̀mí,negative
kọbi ara,positive
aikubaale oro,positive
ibujoko,positive
e wa,positive
rékọjá,positive
ifokonbale,positive
takun takun,positive
fokan tan,positive
aláàbò,positive
alaise,positive
iponrinpongba,negative
shaye,positive
jo ni lowo,negative
ìkókúkòó,negative
mọ́ṣààṣí,negative
oyin,positive
tù wá lára,positive
ọjọ́bìí,positive
wà á dàgbà,positive
àìkúàlàáfíàajé,positive
akotun,positive
wàjà,negative
ódùn,positive
kese kese,negative
iyi,positive
aláyọ̀,positive
ko pangara,positive
ó mà ṣe o,negative
olúwanífẹ̀ẹ́mi,positive
aori ona gbe gba,positive
jẹ́ wá run,negative
soro,negative
sun re,positive
ife,positive
mólè,negative
lọ́láa,positive
oojire,positive
mutí yó,negative
ìkúnlẹ̀,positive
ihooho,negative
atupa,positive
te araye lorun,positive
yinban,negative
poposinsin,positive
àwòrò ṣàṣà,positive
olutunu,positive
afunni,positive
ojú rere,positive
kòńgẹ́ ire,positive
arìndìn,negative
iṣẹ́,positive
ìmọtara ẹni,negative
ọrẹ́,positive
kò ṣe é gbọ́,negative
aládòóolóró,positive
orire,positive
abinu eni,negative
jó gbẹ̀du,positive
leranko,negative
inú yín á dùn,positive
ro mi,negative
àtọwọ́dá,negative
sọre,positive
ọ̀rọ̀kọrọ̀,negative
